Page Name,Tags,Child,Parent,Column,Last edited by,Problems
"SHM ",,,,"Sep 18, 2020 10:58 AM",Soutrik das,
"NLM Contraint Motion ","chapter, physics",,,"Sep 17, 2020 11:54 AM",Soutrik das,
"Complex NLM and SHM problem ","adv, question",,,"Sep 18, 2020 3:25 PM",Soutrik das,
"Oxymercuration Reaction ( Adding H and OH in a different way ) ",,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md","Oct 10, 2020 7:00 PM",Soutrik das,
Double Bond Equivalent ( Degree of Unsaturation ),,,,"Sep 25, 2020 8:06 PM",Soutrik das,
"How to Find the height of hcp ","chemistry, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Solid%20States%20290b64a75aa2458ebbbbdb584a0077d4.md,"Sep 14, 2020 6:56 PM",Soutrik das,
"A large open tank has two small holes in the wall. One is square hole of side L at depth y from the top and the other is a circular hole of radius R at a depth 4y from the top. When the tank is completely filled with water, the quantities of water flowing out per second from both holes are the same. Then what is the value of R?","doubt, physics, question",,,"Sep 14, 2020 10:07 AM",Soutrik das,
"A thin uniform cylindrical shell , closed at both ends, is partially filled with water. It is floating vertically in water in half submerged state. If $\rho_c$ is the RD of shell then relation between $\rho_c$ and water level inside is ?","doubt, physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md,"Sep 14, 2020 9:07 AM",Soutrik das,
A hemispherical portion of Radius R is removed from the bottom of a cylinder of Radius R . The Volume of the remaining cylinder is V and its mass is M . It is suspended by a string in a liquid of density $\rho$ where it stays vertical . The upper surface of the cylinder is $h$ hight below surface. What is the force on the bottom by the liquid ?,"physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md,"Sep 14, 2020 8:01 AM",Soutrik das,
"A block of ice with a lead shot embedded in it is floating on water contained in a vessel. The temperature of the system is maintained at $0\degree C$ as the ice melts. When the ice melts completely , does the level of water rises ","physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Complex%20Archimedes%20Theorem%20problems%2084ec5cd7bac740948ca77c6ca45bce0a.md","Sep 14, 2020 7:44 AM",Soutrik das,
Complex Archimedes Theorem problems,physics,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20wooden%20block%20with%20a%20coin%20placed%20on%20its%20top,%20floa%20e33a6cc030d043d08c37db5a3cca2028.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20block%20of%20ice%20with%20a%20lead%20shot%20embedded%20in%20it%20is%20%20b8fe2b50973d4541879baf170aaa6cb3.md",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md,"Sep 14, 2020 7:47 AM",Soutrik das,
"A wooden block with a coin placed on its top, floats in water as shown in the figure. the distance $l$ and $h$ are shown there. After some time the coin falls into the water , what happens to $l$ and $h$ ","physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Complex%20Archimedes%20Theorem%20problems%2084ec5cd7bac740948ca77c6ca45bce0a.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md","Sep 13, 2020 10:37 PM",Soutrik das,
"Fitjee Archive ",question book,,,"Sep 13, 2020 10:12 PM",Soutrik das,
COM Center of Mass,"chapter, physics",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/An%20automobile%20has%20a%20weight%20of%202700%20lb%20and%20is%20trave%200cece94af0ae41c193638a8f0a2bff7e.md,,"Sep 13, 2020 8:36 PM",Soutrik das,
"Solvation Energy ",,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Solid%20States%20290b64a75aa2458ebbbbdb584a0077d4.md,"Sep 13, 2020 4:28 PM",Soutrik das,
Which has more  Surface area ? n-Butane or IsoButane ?,"chemistry, doubt",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Solid%20States%20290b64a75aa2458ebbbbdb584a0077d4.md,"Sep 13, 2020 4:00 PM",Soutrik das,
Solid States,"chapter, chemistry","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Which%20has%20more%20Surface%20area%20n-Butane%20or%20IsoButane%2061d59ef3a96c49d888d60ff1936c9772.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Solvation%20Energy%2048c3996f3c0443a0a79bb692498b6033.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/How%20to%20Find%20the%20height%20of%20hcp%200be6a02b3a1d4d86baf1420e7fd52b26.md",,"Sep 14, 2020 2:34 PM",Soutrik das,
Fluid Statics ( Hydrostatics ),"chapter, physics","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20wooden%20block%20with%20a%20coin%20placed%20on%20its%20top,%20floa%20e33a6cc030d043d08c37db5a3cca2028.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Complex%20Archimedes%20Theorem%20problems%2084ec5cd7bac740948ca77c6ca45bce0a.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20block%20of%20ice%20with%20a%20lead%20shot%20embedded%20in%20it%20is%20%20b8fe2b50973d4541879baf170aaa6cb3.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20hemispherical%20portion%20of%20Radius%20R%20is%20removed%20fro%20dc8f43cec2fa405dbddd4ec7768a3056.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20thin%20uniform%20cylindrical%20shell%20,%20closed%20at%20both%20%2028ba4f3fa05c436190ec50c21b8c9d62.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20cylindrical%20capillary%20tube%20of%200%202%20mm%20radius%20is%20m%202b54ce7ef00a455592040d1fec07c0a7.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Concave%20v%20s%20Convex%20e158c7e95e5542e8941bd3b43c191a5b.md",,"Sep 23, 2020 8:51 AM",Soutrik das,
"Let $s,t,r$ be non-zero complex numbers and $L$ be the set of solutions ","doubt, maths, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/JEE%20ADV%202018%20Paper%202%206a533b43b70745109e4a55fab37f84cb.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Complex%20Numbers%2058520c2afe2a4be2a00a946e780d9af9.md","Oct 9, 2020 9:44 PM",Soutrik das,
Coordinate Geometry,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Breaking%20Pair%20of%20Straight%20Lines%20Equation%20c21617c3d3db4c0d9090b461f3fb931b.md,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Complex%20Numbers%2058520c2afe2a4be2a00a946e780d9af9.md,"Aug 30, 2020 1:13 PM",Soutrik das,
Regiochemistry and StereoChemistry,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Projection%20Formulas%20bfd5d251a3e749a6b197a25f05fee687.md,"Sep 9, 2020 12:52 PM",Soutrik das,
$SN_1$ v/s $SN_2$,chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md,,"Sep 9, 2020 11:10 AM",Soutrik das,
"$E_1$ v/s $E_2$ Elimination Reaction ",chemistry,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Removing%20OH%20and%20H%20Acid%20Catalyzed%20DeHydration%20%5Bzait%20df170e3acf564a559bccd42ed13cdf6c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/LDA%20Lithium%20Di-Isopropyl%20Amide%2044f4b40077914a91ab3ae4ddd780ea64.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/t-Butoxide%20Tertiary%20Butoxide%2017175d1bf518446ca384427629c8fbe1.md","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/SN_1%20v%20s%20SN_2%204d48c13a75404f07b9626959d2aec8d9.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Thermodynamic%20v%20s%20Kinematic%20Control%20(Reaction%20Coor%2015b67a7d127a4721a0367c8aa6fe1219.md","Sep 10, 2020 5:12 PM",Soutrik das,
"Addition Reactions ",chemistry,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Conformations%205f13674452cc40b09aa295427df9feaf.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Acid%20Base%20Reactions%20593773d95a39437db5cfe95b27604de4.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20Hydrogen%20Hydrogenation%20%5Birr,syn%5D%2085c08d3142734539b0200f3295479f80.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20X%20%5BMarkonikov,oos%5D%20faa09357d9ea49549a80b8715da440f9.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20Br%20,%20%5BAnti-Markonikov,oos%5D%20240917816be04ae6a158cc542aa24cca.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20OH%20,%20Acid%20Catalyzed%20Hydration%20%5BMarkon%2055ac132ae66e46bbb533165e1257bcf8.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20OH%20%5Batni-markonikov,%20syn%5D%20642356c60c614d329b21d774db9d0f8c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Synthesis%20Conversion%20Techniques%207648e51e5d744b8887d5e8ddcc3c1274.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20Br%20and%20Br%20%5Birr,anti%5D%2066f98741cd904714bee84e17d5d2ebbc.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Oxymercuration%20Reaction%20(%20Adding%20H%20and%20OH%20in%20a%20dif%200e56f53b015a4ae8aaeb9583f3df203f.md",,"Sep 10, 2020 3:32 PM",Soutrik das,
Breaking Pair of Straight Lines Equation,maths,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Coordinate%20Geometry%206c24e8c54553431cbdb416a2da860633.md,"Sep 1, 2020 8:18 AM",Soutrik das,
Conformations,chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Configurations%20b1299550971a4ed088b0eeeb9a1f7b83.md,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md,"Sep 25, 2020 8:07 AM",Soutrik das,
Configurations,chemistry,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Conformations%205f13674452cc40b09aa295427df9feaf.md,"Sep 1, 2020 2:03 PM",Soutrik das,
"Projection Formulas ",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Regiochemistry%20and%20StereoChemistry%20d9de2c6e79eb4d76adbe3f75d9bc3bd0.md,,"Sep 25, 2020 8:43 AM",Soutrik das,
David M Klein Organic Chemistry Doubts,"book, chemistry",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Books%20c09fa9d40bfa499ba9545c5017dd2010.md,"Oct 9, 2020 9:26 PM",Soutrik das,
Nucleophile v/s Base,chemistry,,,"Sep 9, 2020 12:54 PM",Soutrik das,
"Acid Base Reactions ","chemistry, doubt",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md,"Sep 9, 2020 12:20 PM",Soutrik das,
Cells in parallel and series(+Terminal Voltage),physics,,,"Sep 4, 2020 10:26 AM",Soutrik das,
Electrostaic Pressure,physics,,,"Sep 4, 2020 10:26 AM",Soutrik das,
LC Oscillations,physics,,,"Sep 4, 2020 10:26 AM",Soutrik das,
The maximum electric field at a point on the axis of a uniformly charged ring is $E_0$. At how many points on the axis will the magnitude of the electric field be $E_0/2$,"physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md,"Sep 6, 2020 8:54 AM",Soutrik das,
A conducting spherical shell is earthed. A positive charge $+q_1$ is placed at the center and another small positive charge $+q_2$ is placed at a distance $r$ from $q_1$. The force on $q_2$ is ?,"doubt, physics, question",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Shielding%20Effect%20c6175c2fc13b466587b67956a3d9bdbd.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md","Sep 6, 2020 8:57 AM",Soutrik das,
Shielding Effect,physics,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20conducting%20spherical%20shell%20is%20earthed%20A%20positive%206e09fc30c073491a94b0ebc0b9769c87.md,,"Sep 5, 2020 4:11 PM",Soutrik das,
Dielectric,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20dielectric%20in%20the%20form%20of%20a%20sphere%20is%20introduced%2093525269416b40ffb362c4c3cbb5b739.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md",,"Sep 7, 2020 8:46 PM",Soutrik das,
"A dielectric in the form of a sphere is introduced into a homogeneous electric field. $A$, $B$, $C$ are three points as shown in figure.","doubt, doubt cleared, physics",,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Dielectric%20224a5f771d714fb78f404df0bcf63c22.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md","Oct 9, 2020 9:40 PM",Soutrik das,
"Uniformly charged hemisphere of radius R. It has a volume charge density $\rho$. If the electric field at point $2R$ above its center is $E$, then what is the electric field at the point $2R$ below its center?","doubt, doubt cleared, physics",,,"Oct 9, 2020 9:40 PM",Soutrik das,
"A conic surface is placed in a uniform electric field $E$ such that the field is perpendicular to the surface on the side $AB$. the base of the cone is of radius $R$ , find magnitude of incoming flux ","physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md,"Sep 6, 2020 8:56 AM",Soutrik das,
"Solid angle ","maths, physics",,,"Sep 24, 2020 3:04 PM",Soutrik das,
A non conducting sphere of radius $R$ is filled with uniform volume charge density $-\rho$. The center of this sphere is displaced from the origin by $\vec d$. The electric field $\vec E$ at any point P is ?,"physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md,"Sep 6, 2020 8:53 AM",Soutrik das,
Cengage BM Sharma,"book, physics","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20non%20conducting%20sphere%20of%20radius%20R%20is%20filled%20with%207a71adeef4fb4415834f39a3a95f8895.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20conic%20surface%20is%20placed%20in%20a%20uniform%20electric%20fi%20971e1d5f19f44151bcbf40137a68239e.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20conducting%20spherical%20shell%20is%20earthed%20A%20positive%206e09fc30c073491a94b0ebc0b9769c87.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/The%20maximum%20electric%20field%20at%20a%20point%20on%20the%20axis%20%20dac8ce1317344114bedc4bb6e68ecec4.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/A%20dielectric%20in%20the%20form%20of%20a%20sphere%20is%20introduced%2093525269416b40ffb362c4c3cbb5b739.md",Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Books%20c09fa9d40bfa499ba9545c5017dd2010.md,"Oct 9, 2020 9:26 PM",Soutrik das,
Paralell conducting plates,"doubt, doubt cleared, physics","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Redistributing%20Charges%20Grounding%20(%20Connecting%20char%20629b314ecb0341b380fa2ecb23d86d71.md",,"Oct 9, 2020 9:40 PM",Soutrik das,
"Electric Potential ","chapter, physics","Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/E_s=-%20frac%7BdV%7D%7Bds%7D%20where%20E_s%20is%20the%20component%20of%20e%20c2b325bf29a646c29cf20e1fb5079e60.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/If%20we%20have%20a%20conducting%20sphere%20and%20a%20charge%20in%20vic%2088108bfeb3cd4866b2fda221c0a83bb8.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/When%20does%20zero%20electric%20flux%20mean%20that%20the%20electri%20957b1366aee94166a88f597a6ade8fdd.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md",,"Sep 11, 2020 3:11 PM",Soutrik das,
How to determine if a force is Conservative ?,physics,,,"Sep 6, 2020 9:30 PM",Soutrik das,
$E_s=-\frac{dV}{ds}$ where $E_s$ is the component of electric field in the direction of $ds$. But if given the potential and position of two points what can we get ?,"doubt, doubt cleared, physics",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Electric%20Potential%206271e75f33a14a86a800bca3330eebb2.md,"Oct 9, 2020 9:40 PM",Soutrik das,
"If we have a conducting sphere and a charge in vicinity , then the spheres center is bound to have some electric field , but conductors ( at equilibrium) dont have electric field in them","doubt, physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Electric%20Potential%206271e75f33a14a86a800bca3330eebb2.md,"Sep 12, 2020 12:40 PM",Soutrik das,
D3js,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md,"Oct 9, 2020 9:05 PM",Soutrik das,
When does zero electric flux mean that the electric field is zero ?,"doubt, physics, question",,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Electric%20Potential%206271e75f33a14a86a800bca3330eebb2.md,"Sep 12, 2020 12:40 PM",Soutrik das,
Isomerism,chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Wedge%20Dash%20To%20Fischer%20and%20reverse%209d3f53dd92594f30b6b127cffa7d0e24.md,,"Sep 25, 2020 8:28 AM",Soutrik das,
"Adding Hydrogen : Hydrogenation [irr,syn]",,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md","Oct 10, 2020 7:00 PM",Soutrik das,
"Adding H and X [Markonikov,oos]",chemistry,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md","Oct 10, 2020 7:00 PM",Soutrik das,
"Alkene ",,,,"Sep 9, 2020 6:07 PM",Soutrik das,
"Adding H and Br , [Anti-Markonikov,oos]",,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md","Oct 10, 2020 7:00 PM",Soutrik das,
"Adding H and OH ,  Acid Catalyzed Hydration [Markonikov, oos]",,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md","Nov 23, 2020 2:42 PM",Soutrik das,
Removing OH and H : Acid Catalyzed DeHydration [zaitsev],,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md","Oct 10, 2020 7:00 PM",Soutrik das,
"Adding H and OH [atni-markonikov, syn]",chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Borane%20BH_3%20c67e9a17d9e348a4bbff7fa6b8ff8b89.md,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md","Oct 10, 2020 7:00 PM",Soutrik das,
Borane $BH_3$,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/THF%20Tetrahydrofuran%20c8917210d23d4c4ab1fec2f04e13b42e.md,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20OH%20%5Batni-markonikov,%20syn%5D%20642356c60c614d329b21d774db9d0f8c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Compound%2073ead57f00364137853977cef7dd704f.md","Oct 9, 2020 9:56 PM",Soutrik das,
THF Tetrahydrofuran,,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Borane%20BH_3%20c67e9a17d9e348a4bbff7fa6b8ff8b89.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Compound%2073ead57f00364137853977cef7dd704f.md","Oct 9, 2020 9:54 PM",Soutrik das,
Synthesis / Conversion Techniques,chemistry,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Tosylates%205564a7748d1a49c4a2761bb616772ba3.md,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md,"Sep 10, 2020 12:33 PM",Soutrik das,
Bulky Base,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/LDA%20Lithium%20Di-Isopropyl%20Amide%2044f4b40077914a91ab3ae4ddd780ea64.md,,"Sep 10, 2020 9:33 AM",Soutrik das,
"LDA Lithium Di-Isopropyl Amide ",,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Bulky%20Base%205c1a5627ec514d12b4a744c4b5650a95.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Chemical%20Compound%2073ead57f00364137853977cef7dd704f.md","Oct 9, 2020 9:54 PM",Soutrik das,
t-Butoxide : Tertiary Butoxide,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md,"Sep 10, 2020 9:34 AM",Soutrik das,
Tosylates,,,Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Synthesis%20Conversion%20Techniques%207648e51e5d744b8887d5e8ddcc3c1274.md,"Sep 10, 2020 10:19 AM",Soutrik das,
"All Chemistry Reactions ",chemistry,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Removing%20=O%2062983174fc1e4db4b2bf01241575e956.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Oxymercuration%20Reaction%20(%20Adding%20H%20and%20OH%20in%20a%20dif%200e56f53b015a4ae8aaeb9583f3df203f.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20Br%20and%20Br%20%5Birr,anti%5D%2066f98741cd904714bee84e17d5d2ebbc.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20OH%20%5Batni-markonikov,%20syn%5D%20642356c60c614d329b21d774db9d0f8c.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20OH%20,%20Acid%20Catalyzed%20Hydration%20%5BMarkon%2055ac132ae66e46bbb533165e1257bcf8.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20Br%20,%20%5BAnti-Markonikov,oos%5D%20240917816be04ae6a158cc542aa24cca.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20H%20and%20X%20%5BMarkonikov,oos%5D%20faa09357d9ea49549a80b8715da440f9.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Adding%20Hydrogen%20Hydrogenation%20%5Birr,syn%5D%2085c08d3142734539b0200f3295479f80.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Removing%20OH%20and%20H%20Acid%20Catalyzed%20DeHydration%20%5Bzait%20df170e3acf564a559bccd42ed13cdf6c.md",,"Sep 10, 2020 3:12 PM",Soutrik das,
"Adding Br and Br [irr,anti]",,,"Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, Wiki%20Page%20Storage%207a886a301e234ae4a4c87925ce34f45c/All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md","Oct 10, 2020 7:00 PM",Soutrik das,
